tag,absolute_frequency
CC,3
CD,2
DT,13
IN,31
JJ,112
JJR,4
JJS,2
MD,4
NN,158
NNP,62
NNPS,8
NNS,98
PRP,8
PRP$,4
RB,38
RBR,2
TO,1
UH,1
VB,74
VBD,5
VBG,59
VBN,30
VBP,35
VBZ,28
WDT,2
WP,1
WRB,4
