part_of_speech,absolute_frequency
ADJ,118
ADP,22
ADV,39
AUX,10
CCONJ,3
DET,11
INTJ,1
NOUN,255
NUM,2
PART,2
PRON,18
PROPN,70
SCONJ,13
VERB,225
